facility_id,project_family,project_name,project_division,project_unit,project_subunit,project_path,membership_role,assignment_confidence,evidence_rule_id,evidence_url,project_key,project_id
CVY_2C929235,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_2CB8C914,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_2CE484C8,Other Reclamation,Solano Project,,Putah South Canal system,,Putah South Canal system,facility,authoritative_crosswalk,BOR_SOLANO,https://www.usbr.gov/projects/index.php?id=421,Other Reclamation|Solano Project||Putah South Canal system|,PRJ_055E9D4D
CVY_2D040EBB,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_2D059E50,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_2D059E52,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_2D0D2F76,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_2DBCCB52,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_2E059FE3,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_2E066790,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_2E0ABB8C,Other Reclamation,Reclamation project (unit unassigned),,,,,facility,needs_project_crosswalk,RECLAMATION_UNASSIGNED_FALLBACK,,Other Reclamation|Reclamation project (unit unassigned)|||,PRJ_03E91FED
CVY_2E1A2F48,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_2E2B8A7D,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_2E7C8EEC,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_2E9AF04D,Local/regional public,Kern Delta Water District,,,,,facility,provisional,LOCAL_FALLBACK,,Local/regional public|Kern Delta Water District|||,PRJ_321610D6
CVY_2EE310A8,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_2F05A176,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_2F16F672,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_2F315C17,Other Reclamation,Reclamation project (unit unassigned),,,,,facility,needs_project_crosswalk,RECLAMATION_UNASSIGNED_FALLBACK,,Other Reclamation|Reclamation project (unit unassigned)|||,PRJ_03E91FED
CVY_2F51B829,Local/regional public,San Diego County Water Authority aqueduct system,,,,,facility,reviewed,LOCAL_SAN_DIEGO,,Local/regional public|San Diego County Water Authority aqueduct system|||,PRJ_75165373
CVY_2F615CFA,Local/regional public,Glenn-Colusa Irrigation District drainage system,,,,,facility,provisional,LOCAL_FALLBACK,,Local/regional public|Glenn-Colusa Irrigation District drainage system|||,PRJ_2598C9AE
CVY_2F6F8FF9,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_2F8DAE48,Local/regional public,Modesto Irrigation District,,,,,facility,provisional,LOCAL_FALLBACK,,Local/regional public|Modesto Irrigation District|||,PRJ_1DA992E8
CVY_2FC324C2,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_30424E73,CVP,Central Valley Project,San Felipe Division,Santa Clara Conduit,,San Felipe Division > Santa Clara Conduit,facility,authoritative_crosswalk,CVP_SAN_FELIPE_SANTA_CLARA,https://www.usbr.gov/projects/index.php?id=392,CVP|Central Valley Project|San Felipe Division|Santa Clara Conduit|,PRJ_037B3A46
CVY_304A39C0,Local/regional public,Kern Water Bank conveyance system,,,,,facility,reviewed,LOCAL_KERN_WATER_BANK,,Local/regional public|Kern Water Bank conveyance system|||,PRJ_0A2B3865
